week,strategy,sales
1,便利性,529
2,便利性,439
3,便利性,728
4,便利性,481
5,便利性,853
6,便利性,481
7,便利性,847
8,便利性,499
9,便利性,535
10,便利性,756
11,便利性,498
12,便利性,824
13,便利性,514
14,便利性,739
15,便利性,635
16,便利性,724
17,便利性,494
18,便利性,662
19,便利性,866
20,便利性,631
1,高质量,804
2,高质量,647
3,高质量,403
4,高质量,412
5,高质量,678
6,高质量,527
7,高质量,607
8,高质量,564
9,高质量,697
10,高质量,778
11,高质量,492
12,高质量,714
13,高质量,674
14,高质量,800
15,高质量,797
16,高质量,792
17,高质量,616
18,高质量,430
19,高质量,521
20,高质量,529
1,低价格,672
2,低价格,785
3,低价格,545
4,低价格,637
5,低价格,622
6,低价格,668
7,低价格,719
8,低价格,749
9,低价格,802
10,低价格,789
11,低价格,691
12,低价格,866
13,低价格,521
14,低价格,852
15,低价格,426
16,低价格,773
17,低价格,629
18,低价格,451
19,低价格,643
20,低价格,629
